index,bookings_cumm,day,next,bookings_daily,flag,ID,state,gender,returning_cust,ticket_type,discount,sail_date,RRP,booking_date,purchased_price,capacity
0,1,-365,0,1,1,Ship3,NT,F,No,MiniSuites_Mid,0.2,11/1/2024,2500,11/1/2023,2499.8,1200
16,2,-349,1,1,1,Ship3,WA,M,No,OceanView_Mid,0.06,11/1/2024,1500,27/1/2023,1499.94,1200
31,3,-334,2,1,1,Ship3,QLD,M,No,OceanView_Aft,0.21,11/1/2024,1800,11/2/2023,1799.79,1200
41,4,-324,3,1,1,Ship3,TAS,F,No,Interior_Mid,0.02,11/1/2024,500,21/2/2023,499.98,1200
49,5,-316,4,1,1,Ship3,QLD,M,No,Interior_Mid,0.11,11/1/2024,500,1/3/2023,499.89,1200
55,6,-310,5,1,1,Ship3,VIC,F,No,OceanView_Mid,0.01,11/1/2024,1500,7/3/2023,1499.99,1200
60,7,-305,6,1,1,Ship3,WA,M,Yes,Balcony_Bow,0.07,11/1/2024,750,12/3/2023,749.93,1200
65,8,-300,7,1,1,Ship3,VIC,M,No,Interior_Bow,0.15,11/1/2024,600,17/3/2023,599.85,1200
69,9,-296,8,1,1,Ship3,NSW,M,Yes,OceanView_Mid,0.28,11/1/2024,1500,21/3/2023,1499.72,1200
72,10,-293,9,1,1,Ship3,TAS,M,Yes,MiniSuites_Aft,0.16,11/1/2024,2600,24/3/2023,2599.84,1200
75,11,-290,10,1,1,Ship3,SA,M,Yes,OceanView_Mid,0.25,11/1/2024,1500,27/3/2023,1499.75,1200
78,12,-287,11,1,1,Ship3,NSW,M,No,Balcony_Bow,0.09,11/1/2024,750,30/3/2023,749.91,1200
80,13,-285,12,1,1,Ship3,NT,F,No,OceanView_Aft,0.02,11/1/2024,1800,1/4/2023,1799.98,1200
83,14,-282,13,1,1,Ship3,NT,F,No,Balcony_Mid,0.27,11/1/2024,650,4/4/2023,649.73,1200
85,15,-280,14,1,1,Ship3,SA,M,No,OceanView_Aft,0.07,11/1/2024,1800,6/4/2023,1799.93,1200
87,16,-278,15,1,1,Ship3,WA,M,No,Interior_Bow,0.35,11/1/2024,600,8/4/2023,599.65,1200
89,17,-276,16,1,1,Ship3,NSW,F,Yes,Interior_Aft,0.22,11/1/2024,550,10/4/2023,549.78,1200
91,18,-274,17,1,1,Ship3,NT,M,No,OceanView_Aft,0.1,11/1/2024,1800,12/4/2023,1799.9,1200
93,19,-272,18,1,1,Ship3,SA,M,Yes,Interior_Bow,0.2,11/1/2024,600,14/4/2023,599.8,1200
94,20,-271,19,1,1,Ship3,NSW,F,No,Balcony_Mid,0.03,11/1/2024,650,15/4/2023,649.97,1200
96,21,-269,20,1,1,Ship3,WA,M,Yes,Balcony_Mid,0.33,11/1/2024,650,17/4/2023,649.67,1200
97,22,-268,21,1,1,Ship3,SA,M,No,Interior_Bow,0.18,11/1/2024,600,18/4/2023,599.82,1200
99,23,-266,22,1,1,Ship3,QLD,F,No,MiniSuites_Mid,0.19,11/1/2024,2500,20/4/2023,2499.81,1200
100,24,-265,23,1,1,Ship3,TAS,M,Yes,MiniSuites_Bow,0.18,11/1/2024,2700,21/4/2023,2699.82,1200
101,25,-264,24,1,1,Ship3,VIC,M,No,MiniSuites_Bow,0.1,11/1/2024,2700,22/4/2023,2699.9,1200
103,26,-262,25,1,1,Ship3,NSW,F,No,OceanView_Aft,0.23,11/1/2024,1800,24/4/2023,1799.77,1200
104,27,-261,26,1,1,Ship3,NT,M,No,Balcony_Mid,0.01,11/1/2024,650,25/4/2023,649.99,1200
105,28,-260,27,1,1,Ship3,VIC,F,No,MiniSuites_Bow,0.23,11/1/2024,2700,26/4/2023,2699.77,1200
106,29,-259,28,1,1,Ship3,TAS,M,Yes,MiniSuites_Mid,0.33,11/1/2024,2500,27/4/2023,2499.67,1200
107,30,-258,29,1,1,Ship3,ACT,F,No,Interior_Mid,0.21,11/1/2024,500,28/4/2023,499.79,1200
108,31,-257,30,1,1,Ship3,ACT,M,No,OceanView_Aft,0.32,11/1/2024,1800,29/4/2023,1799.68,1200
109,32,-256,31,1,1,Ship3,ACT,F,No,Interior_Bow,0.02,11/1/2024,600,30/4/2023,599.98,1200
110,33,-255,32,1,1,Ship3,NT,F,No,Balcony_Aft,0.01,11/1/2024,700,1/5/2023,699.99,1200
111,34,-254,33,1,1,Ship3,WA,M,No,Interior_Bow,0.25,11/1/2024,600,2/5/2023,599.75,1200
112,35,-253,34,1,1,Ship3,WA,M,No,MiniSuites_Bow,0.26,11/1/2024,2700,3/5/2023,2699.74,1200
113,36,-252,35,1,1,Ship3,TAS,F,Yes,Interior_Aft,0,11/1/2024,550,4/5/2023,550,1200
114,37,-251,36,1,1,Ship3,QLD,F,No,OceanView_Aft,0.03,11/1/2024,1800,5/5/2023,1799.97,1200
115,39,-250,37,2,1,Ship3,SA,F,No,Balcony_Mid,0.15,11/1/2024,650,6/5/2023,649.85,1200
115,39,-250,37,3,1,Ship3,WA,M,No,PenthouseSuites_Aft,0.39,11/1/2024,3500,6/5/2023,3499.61,1200
116,40,-249,39,1,1,Ship3,NSW,M,Yes,OceanView_Aft,0.19,11/1/2024,1800,7/5/2023,1799.81,1200
117,41,-248,40,1,1,Ship3,ACT,M,Yes,MiniSuites_Aft,0.36,11/1/2024,2600,8/5/2023,2599.64,1200
118,42,-247,41,1,1,Ship3,NSW,M,No,OceanView_Mid,0.06,11/1/2024,1500,9/5/2023,1499.94,1200
