day,flag,ID,sail_date,booking_date,Age,state,gender,returning_cust,ticket_type,RRP,discount,purchased_price,capacity
-365,1,Ship1,23/11/2023,23/11/2022,76,WA,F,No,Interior_Mid,500,0.25,375,1000
-365,1,Ship1,23/11/2023,23/11/2022,71,ACT,F,No,Interior_Mid,500,0.01,495,1000
-365,1,Ship1,23/11/2023,23/11/2022,80,VIC,M,No,Interior_Mid,500,0.19,405,1000
-365,1,Ship1,23/11/2023,23/11/2022,18,QLD,M,No,Interior_Mid,500,0.03,485,1000
-365,1,Ship1,23/11/2023,23/11/2022,74,SA,M,No,Interior_Mid,500,0.22,390,1000
-365,1,Ship1,23/11/2023,23/11/2022,47,TAS,F,No,Interior_Mid,500,0.37,315,1000
-365,1,Ship1,23/11/2023,23/11/2022,57,NT,M,Yes,Interior_Mid,500,0.1,450,1000
-361,1,Ship1,23/11/2023,27/11/2022,80,NT,M,Yes,Interior_Mid,500,0.1,450,1000
-357,1,Ship1,23/11/2023,1/12/2022,48,NSW,M,Yes,Interior_Mid,500,0.29,355,1000
-354,1,Ship1,23/11/2023,4/12/2022,73,SA,F,No,Interior_Mid,500,0.16,420,1000
-351,1,Ship1,23/11/2023,7/12/2022,74,NSW,F,No,Interior_Mid,500,0.25,375,1000
-348,1,Ship1,23/11/2023,10/12/2022,80,WA,M,No,Interior_Mid,500,0.16,420,1000
-345,1,Ship1,23/11/2023,13/12/2022,80,ACT,F,No,Interior_Mid,500,0.05,475,1000
-343,1,Ship1,23/11/2023,15/12/2022,60,ACT,F,No,Interior_Mid,500,0.38,310,1000
-341,1,Ship1,23/11/2023,17/12/2022,34,SA,F,No,Interior_Mid,500,0.37,315,1000
-339,1,Ship1,23/11/2023,19/12/2022,42,QLD,F,No,Interior_Mid,500,0.37,315,1000
-337,1,Ship1,23/11/2023,21/12/2022,76,NSW,F,No,Interior_Mid,500,0.19,405,1000
-335,1,Ship1,23/11/2023,23/12/2022,53,SA,F,Yes,Interior_Mid,500,0.03,485,1000
-333,1,Ship1,23/11/2023,25/12/2022,77,VIC,F,No,Interior_Mid,500,0.02,490,1000
-332,1,Ship1,23/11/2023,26/12/2022,24,NT,M,No,Interior_Mid,500,0.21,395,1000
-330,1,Ship1,23/11/2023,28/12/2022,77,NSW,M,No,Interior_Mid,500,0.11,445,1000
-329,1,Ship1,23/11/2023,29/12/2022,18,NSW,M,No,Interior_Mid,500,0.19,405,1000
-327,1,Ship1,23/11/2023,31/12/2022,18,NT,M,No,Interior_Mid,500,0.36,320,1000
-326,1,Ship1,23/11/2023,1/1/2023,18,NSW,M,Yes,Interior_Mid,500,0.17,415,1000
-325,1,Ship1,23/11/2023,2/1/2023,44,TAS,F,Yes,Interior_Mid,500,0.16,420,1000
-323,1,Ship1,23/11/2023,4/1/2023,61,VIC,M,Yes,Interior_Mid,500,0.04,480,1000
-322,1,Ship1,23/11/2023,5/1/2023,76,ACT,F,Yes,Interior_Mid,500,0.2,400,1000
-321,1,Ship1,23/11/2023,6/1/2023,27,VIC,M,No,Interior_Mid,500,0.05,475,1000
-320,1,Ship1,23/11/2023,7/1/2023,46,NT,F,No,Interior_Mid,500,0.08,460,1000
-319,1,Ship1,23/11/2023,8/1/2023,80,TAS,F,No,Interior_Mid,500,0.01,495,1000
-318,1,Ship1,23/11/2023,9/1/2023,66,QLD,M,No,Interior_Mid,500,0.16,420,1000
-317,1,Ship1,23/11/2023,10/1/2023,61,NSW,M,No,Interior_Mid,500,0.09,455,1000
-316,1,Ship1,23/11/2023,11/1/2023,18,NSW,M,No,Interior_Mid,500,0.26,370,1000
-315,1,Ship1,23/11/2023,12/1/2023,22,QLD,F,No,Interior_Mid,500,0.04,480,1000
-314,1,Ship1,23/11/2023,13/1/2023,42,QLD,M,No,Interior_Mid,500,0.11,445,1000
-313,1,Ship1,23/11/2023,14/1/2023,57,TAS,M,No,Interior_Mid,500,0.35,325,1000
-312,1,Ship1,23/11/2023,15/1/2023,22,QLD,M,No,Interior_Mid,500,0.39,305,1000
-311,1,Ship1,23/11/2023,16/1/2023,18,SA,M,No,Interior_Mid,500,0.39,305,1000
-310,1,Ship1,23/11/2023,17/1/2023,80,ACT,M,Yes,Interior_Mid,500,0.2,400,1000
-310,1,Ship1,23/11/2023,17/1/2023,30,NSW,M,No,Interior_Mid,500,0,500,1000
-309,1,Ship1,23/11/2023,18/1/2023,18,VIC,F,Yes,Interior_Mid,500,0.23,385,1000
-308,1,Ship1,23/11/2023,19/1/2023,37,TAS,F,No,Interior_Mid,500,0.17,415,1000
-307,1,Ship1,23/11/2023,20/1/2023,75,TAS,F,No,Interior_Mid,500,0.19,405,1000
-306,1,Ship1,23/11/2023,21/1/2023,80,TAS,M,No,Interior_Mid,500,0.35,325,1000
-306,1,Ship1,23/11/2023,21/1/2023,59,WA,M,No,Interior_Mid,500,0.23,385,1000
-305,1,Ship1,23/11/2023,22/1/2023,18,ACT,M,No,Interior_Mid,500,0.24,380,1000
-304,1,Ship1,23/11/2023,23/1/2023,18,NT,M,No,Interior_Mid,500,0.23,385,1000
-304,1,Ship1,23/11/2023,23/1/2023,80,NT,F,No,Interior_Mid,500,0.03,485,1000
-303,1,Ship1,23/11/2023,24/1/2023,18,SA,M,No,Interior_Mid,500,0.14,430,1000
-302,1,Ship1,23/11/2023,25/1/2023,18,QLD,F,No,Interior_Mid,500,0.38,310,1000
-302,1,Ship1,23/11/2023,25/1/2023,18,WA,F,No,Interior_Mid,500,0.23,385,1000
-301,1,Ship1,23/11/2023,26/1/2023,75,NSW,M,No,Interior_Mid,500,0.33,335,1000
-300,1,Ship1,23/11/2023,27/1/2023,18,TAS,M,Yes,Interior_Mid,500,0.29,355,1000
-300,1,Ship1,23/11/2023,27/1/2023,73,ACT,F,Yes,Interior_Mid,500,0.15,425,1000
-299,1,Ship1,23/11/2023,28/1/2023,80,ACT,M,No,Interior_Mid,500,0.29,355,1000
-299,1,Ship1,23/11/2023,28/1/2023,68,NT,M,Yes,Interior_Mid,500,0.17,415,1000
-298,1,Ship1,23/11/2023,29/1/2023,28,NT,M,No,Interior_Mid,500,0.17,415,1000
-298,1,Ship1,23/11/2023,29/1/2023,72,NSW,M,No,Interior_Mid,500,0.21,395,1000
-297,1,Ship1,23/11/2023,30/1/2023,72,ACT,F,No,Interior_Mid,500,0,500,1000
-296,1,Ship1,23/11/2023,31/1/2023,80,VIC,M,No,Interior_Mid,500,0.33,335,1000
-296,1,Ship1,23/11/2023,31/1/2023,68,NSW,F,No,Interior_Mid,500,0.35,325,1000
-295,1,Ship1,23/11/2023,1/2/2023,73,WA,M,No,Interior_Mid,500,0.08,460,1000
-295,1,Ship1,23/11/2023,1/2/2023,38,VIC,M,No,Interior_Mid,500,0.15,425,1000
-294,1,Ship1,23/11/2023,2/2/2023,34,VIC,F,No,Interior_Mid,500,0.36,320,1000
-294,1,Ship1,23/11/2023,2/2/2023,69,VIC,F,No,Interior_Mid,500,0.07,465,1000
-293,1,Ship1,23/11/2023,3/2/2023,18,QLD,M,No,Interior_Mid,500,0.15,425,1000
-293,1,Ship1,23/11/2023,3/2/2023,78,WA,M,No,Interior_Mid,500,0.24,380,1000
-292,1,Ship1,23/11/2023,4/2/2023,24,TAS,M,Yes,Interior_Mid,500,0.02,490,1000
-292,1,Ship1,23/11/2023,4/2/2023,36,TAS,M,No,Interior_Mid,500,0.27,365,1000
-291,1,Ship1,23/11/2023,5/2/2023,18,ACT,F,No,Interior_Mid,500,0.2,400,1000
-291,1,Ship1,23/11/2023,5/2/2023,22,ACT,M,Yes,Interior_Mid,500,0.3,350,1000
-290,1,Ship1,23/11/2023,6/2/2023,44,WA,M,Yes,Interior_Mid,500,0.25,375,1000
-290,1,Ship1,23/11/2023,6/2/2023,41,NSW,M,No,Interior_Mid,500,0.08,460,1000
-290,1,Ship1,23/11/2023,6/2/2023,18,VIC,M,Yes,Interior_Mid,500,0.38,310,1000
-289,1,Ship1,23/11/2023,7/2/2023,28,NSW,M,No,Interior_Mid,500,0.06,470,1000
-289,1,Ship1,23/11/2023,7/2/2023,80,NSW,F,No,Interior_Mid,500,0,500,1000
-288,1,Ship1,23/11/2023,8/2/2023,80,VIC,M,No,Interior_Mid,500,0.32,340,1000
-288,1,Ship1,23/11/2023,8/2/2023,24,ACT,M,No,Interior_Mid,500,0.19,405,1000
-287,1,Ship1,23/11/2023,9/2/2023,18,SA,M,Yes,Interior_Mid,500,0.24,380,1000
-287,1,Ship1,23/11/2023,9/2/2023,61,NSW,M,No,Interior_Mid,500,0.17,415,1000
-287,1,Ship1,23/11/2023,9/2/2023,18,WA,F,No,Interior_Mid,500,0.32,340,1000
-286,1,Ship1,23/11/2023,10/2/2023,56,QLD,M,No,Interior_Mid,500,0,500,1000
-286,1,Ship1,23/11/2023,10/2/2023,21,TAS,M,Yes,Interior_Mid,500,0.12,440,1000
-285,1,Ship1,23/11/2023,11/2/2023,59,NSW,M,Yes,Interior_Mid,500,0.14,430,1000
-285,1,Ship1,23/11/2023,11/2/2023,18,QLD,M,No,Interior_Mid,500,0.38,310,1000
-285,1,Ship1,23/11/2023,11/2/2023,18,VIC,F,Yes,Interior_Mid,500,0.17,415,1000
-284,1,Ship1,23/11/2023,12/2/2023,18,TAS,F,Yes,Interior_Mid,500,0.34,330,1000
-284,1,Ship1,23/11/2023,12/2/2023,49,QLD,M,No,Interior_Mid,500,0.25,375,1000
-283,1,Ship1,23/11/2023,13/2/2023,80,QLD,F,No,Interior_Mid,500,0.14,430,1000
-283,1,Ship1,23/11/2023,13/2/2023,80,SA,F,No,Interior_Mid,500,0.25,375,1000
-283,1,Ship1,23/11/2023,13/2/2023,64,TAS,M,No,Interior_Aft,550,0.35,357.5,1000
-282,1,Ship1,23/11/2023,14/2/2023,80,VIC,M,No,Interior_Aft,550,0.01,544.5,1000
-282,1,Ship1,23/11/2023,14/2/2023,18,TAS,F,No,Interior_Aft,550,0.05,522.5,1000
-282,1,Ship1,23/11/2023,14/2/2023,41,NT,M,No,Interior_Aft,550,0.14,473,1000
-281,1,Ship1,23/11/2023,15/2/2023,57,NSW,F,Yes,Interior_Aft,550,0.02,539,1000
-281,1,Ship1,23/11/2023,15/2/2023,80,TAS,M,No,Interior_Aft,550,0.36,352,1000
-281,1,Ship1,23/11/2023,15/2/2023,18,TAS,F,No,Interior_Aft,550,0.29,390.5,1000
-280,1,Ship1,23/11/2023,16/2/2023,80,TAS,F,No,Interior_Aft,550,0.07,511.5,1000
-280,1,Ship1,23/11/2023,16/2/2023,18,ACT,M,Yes,Interior_Aft,550,0.17,456.5,1000
-279,1,Ship1,23/11/2023,17/2/2023,43,WA,M,No,Interior_Aft,550,0.03,533.5,1000
-279,1,Ship1,23/11/2023,17/2/2023,18,QLD,F,Yes,Interior_Aft,550,0.33,368.5,1000
-279,1,Ship1,23/11/2023,17/2/2023,80,SA,M,No,Interior_Aft,550,0.37,346.5,1000
-278,1,Ship1,23/11/2023,18/2/2023,18,TAS,M,Yes,Interior_Aft,550,0.32,374,1000
-278,1,Ship1,23/11/2023,18/2/2023,55,VIC,M,No,Interior_Aft,550,0.33,368.5,1000
-278,1,Ship1,23/11/2023,18/2/2023,37,WA,F,No,Interior_Aft,550,0.37,346.5,1000
-277,1,Ship1,23/11/2023,19/2/2023,18,TAS,F,No,Interior_Aft,550,0.02,539,1000
-277,1,Ship1,23/11/2023,19/2/2023,77,WA,F,No,Interior_Aft,550,0.31,379.5,1000
-277,1,Ship1,23/11/2023,19/2/2023,18,NT,M,No,Interior_Aft,550,0.31,379.5,1000
-277,1,Ship1,23/11/2023,19/2/2023,39,VIC,F,Yes,Interior_Aft,550,0.2,440,1000
-276,1,Ship1,23/11/2023,20/2/2023,80,NT,F,No,Interior_Aft,550,0.11,489.5,1000
-276,1,Ship1,23/11/2023,20/2/2023,54,ACT,F,No,Interior_Aft,550,0.25,412.5,1000
